#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
21,NaiveBayes,false,NotSet,true,0.28
15,NaiveBayes,true,UnderSampl,false,0.2857142857142857
4,NaiveBayes,false,UnderSampl,false,0.3
18,IBk,false,NotSet,true,0.12727272727272726
14,NaiveBayes,true,NotSet,false,0.24444444444444444
11,IBk,true,OverSampl,false,0.17073170731707318
19,IBk,true,NotSet,true,0.1896551724137931
22,RandomForest,false,NotSet,true,0.3111111111111111
6,NaiveBayes,true,OverSampl,false,0.3939393939393939
4,NaiveBayes,false,SMOTE,false,0.2857142857142857
1,RandomForest,true,NotSet,true,0.125
15,IBk,true,NotSet,false,0.2558139534883721
9,IBk,false,NotSet,false,0.2
24,NaiveBayes,true,NotSet,false,0.13114754098360656
5,NaiveBayes,false,OverSampl,false,0.14285714285714285
17,NaiveBayes,true,OverSampl,false,0.22727272727272727
18,NaiveBayes,false,NotSet,false,0.125
15,IBk,true,NotSet,true,0.23255813953488372
17,IBk,false,NotSet,false,0.16279069767441862
25,RandomForest,false,OverSampl,false,0.2413793103448276
17,RandomForest,false,UnderSampl,false,0.22727272727272727
8,IBk,true,OverSampl,false,0.21052631578947367
5,NaiveBayes,false,UnderSampl,false,0.14285714285714285
11,IBk,true,NotSet,false,0.1951219512195122
2,IBk,false,NotSet,false,0.125
16,NaiveBayes,false,NotSet,true,0.19047619047619047
25,RandomForest,true,UnderSampl,false,0.3050847457627119
25,IBk,false,OverSampl,false,0.25862068965517243
20,RandomForest,true,NotSet,false,0.16129032258064516
21,IBk,false,OverSampl,false,0.24
11,NaiveBayes,false,NotSet,true,0.3902439024390244
9,NaiveBayes,true,NotSet,true,0.1590909090909091
13,RandomForest,true,UnderSampl,false,0.2708333333333333
12,IBk,false,SMOTE,false,0.21428571428571427
6,IBk,false,SMOTE,false,0.35294117647058826
7,RandomForest,false,UnderSampl,false,0.18518518518518517
22,RandomForest,true,OverSampl,false,0.28888888888888886
24,NaiveBayes,true,UnderSampl,false,0.15
20,NaiveBayes,true,OverSampl,false,0.1774193548387097
14,NaiveBayes,true,OverSampl,false,0.22727272727272727
26,RandomForest,true,SMOTE,false,0.13636363636363635
21,IBk,true,OverSampl,false,0.18
25,IBk,true,SMOTE,false,0.2542372881355932
16,RandomForest,false,NotSet,false,0.2926829268292683
5,IBk,true,UnderSampl,false,0.4
8,IBk,true,UnderSampl,false,0.21052631578947367
26,NaiveBayes,true,UnderSampl,false,0.3181818181818182
24,NaiveBayes,true,OverSampl,false,0.26666666666666666
5,RandomForest,false,UnderSampl,false,0.37142857142857144
17,RandomForest,true,SMOTE,false,0.23255813953488372
15,IBk,true,SMOTE,false,0.27906976744186046
8,IBk,false,SMOTE,false,0.2564102564102564
20,NaiveBayes,true,NotSet,true,0.1774193548387097
22,NaiveBayes,false,NotSet,false,0.2
13,NaiveBayes,true,NotSet,true,0.14893617021276595
17,IBk,false,SMOTE,false,0.18604651162790697
4,RandomForest,true,SMOTE,false,0.23809523809523808
8,NaiveBayes,false,NotSet,false,0.13157894736842105
18,IBk,false,UnderSampl,false,0.25
4,IBk,false,NotSet,false,0.047619047619047616
26,IBk,false,NotSet,true,0.13636363636363635
11,RandomForest,false,UnderSampl,false,0.2926829268292683
20,RandomForest,false,UnderSampl,false,0.22950819672131148
25,NaiveBayes,true,SMOTE,false,0.22033898305084745
13,RandomForest,true,OverSampl,false,0.20833333333333334
10,RandomForest,false,OverSampl,false,0.25
23,NaiveBayes,true,UnderSampl,false,0.21818181818181817
22,NaiveBayes,true,UnderSampl,false,0.20454545454545456
9,IBk,false,OverSampl,false,0.15555555555555556
14,RandomForest,true,NotSet,false,0.25
21,NaiveBayes,false,UnderSampl,false,0.28
5,IBk,false,NotSet,false,0.17142857142857143
21,NaiveBayes,false,OverSampl,false,0.28
9,IBk,false,NotSet,true,0.2
16,IBk,false,UnderSampl,false,0.2619047619047619
6,RandomForest,true,SMOTE,false,0.4411764705882353
4,RandomForest,true,UnderSampl,false,0.19047619047619047
21,IBk,true,NotSet,true,0.16
23,IBk,true,NotSet,true,0.2909090909090909
23,RandomForest,false,SMOTE,false,0.3090909090909091
9,RandomForest,false,UnderSampl,false,0.2222222222222222
8,RandomForest,true,NotSet,false,0.1794871794871795
25,IBk,false,NotSet,true,0.23728813559322035
4,RandomForest,false,UnderSampl,false,0.23809523809523808
25,IBk,true,UnderSampl,false,0.288135593220339
13,IBk,false,UnderSampl,false,0.3191489361702128
18,IBk,true,NotSet,false,0.14285714285714285
12,NaiveBayes,true,UnderSampl,false,0.14634146341463414
19,RandomForest,false,NotSet,false,0.21052631578947367
17,RandomForest,true,UnderSampl,false,0.18181818181818182
14,RandomForest,false,SMOTE,false,0.36363636363636365
16,NaiveBayes,true,NotSet,false,0.21428571428571427
26,RandomForest,true,OverSampl,false,0.09090909090909091
24,RandomForest,false,NotSet,true,0.2786885245901639
8,IBk,true,NotSet,true,0.23684210526315788
22,IBk,false,SMOTE,false,0.3111111111111111
16,RandomForest,true,OverSampl,false,0.21951219512195122
4,IBk,true,NotSet,false,0.14285714285714285
8,IBk,true,NotSet,false,0.21052631578947367
25,IBk,false,NotSet,false,0.22033898305084745
3,NaiveBayes,true,SMOTE,false,0.20512820512820512
6,NaiveBayes,true,NotSet,false,0.2647058823529412
12,RandomForest,true,NotSet,false,0.23809523809523808
26,RandomForest,true,NotSet,true,0.09090909090909091
9,RandomForest,true,NotSet,true,0.3111111111111111
23,IBk,true,NotSet,false,0.3090909090909091
26,RandomForest,true,NotSet,false,0.18181818181818182
8,IBk,true,SMOTE,false,0.23076923076923078
12,NaiveBayes,false,UnderSampl,false,0.16666666666666666
3,IBk,false,UnderSampl,false,0.23076923076923078
14,IBk,true,OverSampl,false,0.20454545454545456
4,IBk,false,SMOTE,false,0.09523809523809523
1,IBk,true,UnderSampl,false,0.25
9,IBk,true,UnderSampl,false,0.25
14,RandomForest,true,NotSet,true,0.24444444444444444
5,NaiveBayes,true,OverSampl,false,0.17142857142857143
24,NaiveBayes,false,NotSet,true,0.14754098360655737
24,NaiveBayes,false,OverSampl,false,0.14754098360655737
18,RandomForest,true,NotSet,false,0.16363636363636364
4,IBk,true,NotSet,true,0.14285714285714285
12,IBk,true,OverSampl,false,0.21428571428571427
16,NaiveBayes,true,NotSet,true,0.19047619047619047
12,NaiveBayes,false,OverSampl,false,0.17073170731707318
9,IBk,true,NotSet,true,0.24444444444444444
22,NaiveBayes,false,SMOTE,false,0.22727272727272727
4,NaiveBayes,false,NotSet,false,0.19047619047619047
21,RandomForest,false,UnderSampl,false,0.36
17,NaiveBayes,false,SMOTE,false,0.20454545454545456
24,IBk,true,SMOTE,false,0.26229508196721313
15,NaiveBayes,false,OverSampl,false,0.21428571428571427
7,NaiveBayes,false,SMOTE,false,0.07407407407407407
11,NaiveBayes,false,OverSampl,false,0.34146341463414637
3,RandomForest,false,OverSampl,false,0.23076923076923078
15,RandomForest,true,SMOTE,false,0.2619047619047619
12,RandomForest,true,UnderSampl,false,0.23809523809523808
22,NaiveBayes,false,NotSet,true,0.2
19,NaiveBayes,false,SMOTE,false,0.2413793103448276
5,IBk,true,NotSet,true,0.22857142857142856
20,IBk,false,NotSet,true,0.20967741935483872
13,RandomForest,false,NotSet,true,0.20833333333333334
16,RandomForest,true,UnderSampl,false,0.11904761904761904
7,IBk,true,NotSet,false,0.2962962962962963
12,IBk,true,NotSet,false,0.21428571428571427
15,NaiveBayes,false,NotSet,false,0.18604651162790697
5,RandomForest,true,OverSampl,false,0.22857142857142856
4,NaiveBayes,true,NotSet,false,0.2857142857142857
23,IBk,false,OverSampl,false,0.2727272727272727
22,IBk,false,UnderSampl,false,0.3333333333333333
18,RandomForest,false,SMOTE,false,0.16363636363636364
7,RandomForest,true,NotSet,false,0.2222222222222222
17,NaiveBayes,false,NotSet,false,0.20454545454545456
15,NaiveBayes,false,UnderSampl,false,0.23255813953488372
3,NaiveBayes,false,NotSet,true,0.125
15,RandomForest,true,UnderSampl,false,0.27906976744186046
9,RandomForest,true,SMOTE,false,0.2
13,IBk,true,NotSet,false,0.25
22,IBk,false,NotSet,false,0.3333333333333333
17,NaiveBayes,true,NotSet,false,0.20454545454545456
11,RandomForest,true,UnderSampl,false,0.2926829268292683
2,IBk,true,NotSet,false,0.21875
12,IBk,true,SMOTE,false,0.2619047619047619
20,RandomForest,false,OverSampl,false,0.19672131147540983
13,NaiveBayes,true,SMOTE,false,0.14893617021276595
11,NaiveBayes,true,SMOTE,false,0.3170731707317073
2,NaiveBayes,true,NotSet,true,0.09090909090909091
16,RandomForest,true,NotSet,true,0.1951219512195122
12,RandomForest,true,SMOTE,false,0.2619047619047619
15,RandomForest,false,OverSampl,false,0.21428571428571427
12,NaiveBayes,false,NotSet,true,0.16666666666666666
5,RandomForest,false,NotSet,false,0.2571428571428571
17,NaiveBayes,false,UnderSampl,false,0.22727272727272727
7,NaiveBayes,true,OverSampl,false,0.15384615384615385
5,IBk,false,OverSampl,false,0.2857142857142857
23,NaiveBayes,false,SMOTE,false,0.16666666666666666
22,NaiveBayes,true,SMOTE,false,0.25
14,IBk,false,NotSet,true,0.24444444444444444
1,NaiveBayes,false,OverSampl,false,0.125
20,RandomForest,true,OverSampl,false,0.16129032258064516
3,NaiveBayes,false,OverSampl,false,0.125
15,IBk,false,SMOTE,false,0.2558139534883721
16,NaiveBayes,true,UnderSampl,false,0.1951219512195122
23,NaiveBayes,false,UnderSampl,false,0.14814814814814814
19,NaiveBayes,true,NotSet,false,0.21052631578947367
17,NaiveBayes,true,NotSet,true,0.20454545454545456
4,RandomForest,true,NotSet,false,0.3
10,RandomForest,true,NotSet,true,0.2222222222222222
4,IBk,false,OverSampl,false,0.19047619047619047
14,RandomForest,false,NotSet,false,0.3181818181818182
10,RandomForest,true,UnderSampl,false,0.2222222222222222
26,IBk,false,OverSampl,false,0.22727272727272727
15,NaiveBayes,false,SMOTE,false,0.18604651162790697
5,IBk,false,NotSet,true,0.17142857142857143
6,RandomForest,true,NotSet,false,0.38235294117647056
21,RandomForest,false,NotSet,false,0.36
19,RandomForest,true,NotSet,false,0.17543859649122806
13,RandomForest,false,SMOTE,false,0.19148936170212766
3,IBk,true,UnderSampl,false,0.3
2,IBk,false,NotSet,true,0.125
9,IBk,false,UnderSampl,false,0.17777777777777778
12,RandomForest,true,NotSet,true,0.23809523809523808
4,RandomForest,false,NotSet,true,0.2
11,RandomForest,false,NotSet,true,0.17073170731707318
6,NaiveBayes,true,UnderSampl,false,0.35294117647058826
9,NaiveBayes,false,SMOTE,false,0.13333333333333333
3,IBk,true,OverSampl,false,0.23076923076923078
14,RandomForest,true,OverSampl,false,0.22727272727272727
13,NaiveBayes,false,NotSet,false,0.1702127659574468
16,RandomForest,false,SMOTE,false,0.2682926829268293
10,IBk,true,UnderSampl,false,0.25
3,RandomForest,true,NotSet,true,0.1794871794871795
1,NaiveBayes,false,NotSet,true,0.0625
2,NaiveBayes,false,SMOTE,false,0.125
20,NaiveBayes,false,NotSet,false,0.11290322580645161
1,IBk,false,OverSampl,false,0.11764705882352941
25,NaiveBayes,false,OverSampl,false,0.13559322033898305
6,IBk,false,NotSet,false,0.3235294117647059
3,RandomForest,true,NotSet,false,0.20512820512820512
12,IBk,true,NotSet,true,0.21428571428571427
3,NaiveBayes,true,OverSampl,false,0.20512820512820512
20,NaiveBayes,true,SMOTE,false,0.1774193548387097
5,NaiveBayes,true,NotSet,true,0.2
3,NaiveBayes,false,SMOTE,false,0.125
25,NaiveBayes,false,NotSet,false,0.13559322033898305
19,IBk,false,UnderSampl,false,0.2413793103448276
14,IBk,true,NotSet,true,0.18181818181818182
8,RandomForest,false,OverSampl,false,0.2564102564102564
7,RandomForest,false,NotSet,true,0.18518518518518517
13,RandomForest,false,OverSampl,false,0.1875
17,RandomForest,false,SMOTE,false,0.23255813953488372
24,IBk,true,NotSet,false,0.22950819672131148
21,IBk,true,UnderSampl,false,0.24
3,NaiveBayes,false,NotSet,false,0.125
17,IBk,true,UnderSampl,false,0.20930232558139536
10,RandomForest,false,UnderSampl,false,0.26666666666666666
20,IBk,true,NotSet,false,0.12903225806451613
14,NaiveBayes,true,UnderSampl,false,0.2
13,NaiveBayes,false,UnderSampl,false,0.16666666666666666
5,RandomForest,true,NotSet,true,0.2857142857142857
14,NaiveBayes,false,OverSampl,false,0.18181818181818182
15,RandomForest,false,SMOTE,false,0.2857142857142857
19,NaiveBayes,true,NotSet,true,0.1896551724137931
7,RandomForest,true,SMOTE,false,0.18518518518518517
8,NaiveBayes,true,NotSet,false,0.13157894736842105
7,RandomForest,false,NotSet,false,0.2222222222222222
6,NaiveBayes,true,SMOTE,false,0.38235294117647056
4,NaiveBayes,true,NotSet,true,0.42857142857142855
20,RandomForest,false,NotSet,false,0.13114754098360656
26,NaiveBayes,true,NotSet,true,0.23809523809523808
5,NaiveBayes,true,SMOTE,false,0.2
16,RandomForest,true,SMOTE,false,0.21951219512195122
12,RandomForest,false,OverSampl,false,0.24390243902439024
13,RandomForest,false,NotSet,false,0.16666666666666666
26,NaiveBayes,false,UnderSampl,false,0.3181818181818182
21,NaiveBayes,true,NotSet,false,0.3
6,RandomForest,false,NotSet,false,0.3235294117647059
19,NaiveBayes,false,NotSet,false,0.2413793103448276
11,NaiveBayes,true,OverSampl,false,0.325
8,NaiveBayes,false,NotSet,true,0.13157894736842105
14,NaiveBayes,false,NotSet,false,0.17777777777777778
25,NaiveBayes,true,NotSet,true,0.3103448275862069
2,RandomForest,false,NotSet,true,0.1875
12,NaiveBayes,false,NotSet,false,0.16666666666666666
11,RandomForest,true,SMOTE,false,0.21951219512195122
9,NaiveBayes,true,UnderSampl,false,0.15555555555555556
16,NaiveBayes,false,NotSet,false,0.19047619047619047
2,RandomForest,true,OverSampl,false,0.1875
13,NaiveBayes,false,SMOTE,false,0.16666666666666666
13,IBk,true,SMOTE,false,0.22916666666666666
21,RandomForest,true,NotSet,true,0.28
22,RandomForest,false,UnderSampl,false,0.3333333333333333
14,IBk,false,SMOTE,false,0.24444444444444444
1,NaiveBayes,false,SMOTE,false,0.0625
20,RandomForest,false,SMOTE,false,0.16129032258064516
22,RandomForest,false,SMOTE,false,0.28888888888888886
22,RandomForest,true,SMOTE,false,0.3333333333333333
14,IBk,false,NotSet,false,0.26666666666666666
1,RandomForest,true,NotSet,false,0.125
25,RandomForest,false,NotSet,false,0.23728813559322035
5,NaiveBayes,true,NotSet,false,0.14285714285714285
24,IBk,false,SMOTE,false,0.22950819672131148
14,IBk,false,OverSampl,false,0.2222222222222222
23,RandomForest,true,UnderSampl,false,0.32727272727272727
22,RandomForest,true,NotSet,true,0.37777777777777777
11,NaiveBayes,false,NotSet,false,0.3170731707317073
3,RandomForest,true,SMOTE,false,0.23076923076923078
5,IBk,false,SMOTE,false,0.22857142857142856
3,RandomForest,false,NotSet,false,0.1794871794871795
26,RandomForest,false,UnderSampl,false,0.09090909090909091
14,IBk,true,NotSet,false,0.20454545454545456
16,RandomForest,false,NotSet,true,0.2619047619047619
2,IBk,false,SMOTE,false,0.125
3,IBk,true,SMOTE,false,0.25
6,NaiveBayes,false,UnderSampl,false,0.29411764705882354
20,IBk,false,OverSampl,false,0.20967741935483872
3,RandomForest,false,SMOTE,false,0.275
15,IBk,true,OverSampl,false,0.23255813953488372
22,NaiveBayes,true,OverSampl,false,0.22727272727272727
11,RandomForest,true,NotSet,true,0.21951219512195122
10,NaiveBayes,false,OverSampl,false,0.3111111111111111
11,IBk,false,NotSet,true,0.1951219512195122
26,RandomForest,false,NotSet,false,0.22727272727272727
12,NaiveBayes,true,NotSet,true,0.17073170731707318
16,IBk,false,NotSet,false,0.2682926829268293
6,RandomForest,false,OverSampl,false,0.29411764705882354
25,NaiveBayes,true,OverSampl,false,0.22413793103448276
21,NaiveBayes,true,SMOTE,false,0.3
1,RandomForest,true,UnderSampl,false,0.125
2,NaiveBayes,false,NotSet,false,0.125
19,RandomForest,true,SMOTE,false,0.22807017543859648
16,NaiveBayes,false,UnderSampl,false,0.1951219512195122
22,RandomForest,true,NotSet,false,0.35555555555555557
26,RandomForest,false,SMOTE,false,0.18181818181818182
5,NaiveBayes,false,NotSet,false,0.14285714285714285
18,RandomForest,true,UnderSampl,false,0.19642857142857142
22,IBk,true,SMOTE,false,0.35555555555555557
21,NaiveBayes,false,SMOTE,false,0.34
22,IBk,true,UnderSampl,false,0.29545454545454547
9,RandomForest,false,SMOTE,false,0.26666666666666666
25,IBk,true,OverSampl,false,0.25862068965517243
6,IBk,true,NotSet,false,0.35294117647058826
23,NaiveBayes,false,NotSet,true,0.14545454545454545
15,IBk,false,UnderSampl,false,0.3023255813953488
21,NaiveBayes,true,NotSet,true,0.28
23,IBk,false,NotSet,true,0.2545454545454545
23,RandomForest,true,NotSet,true,0.2909090909090909
5,IBk,true,OverSampl,false,0.22857142857142856
13,NaiveBayes,true,UnderSampl,false,0.16666666666666666
8,NaiveBayes,true,NotSet,true,0.15789473684210525
19,RandomForest,false,NotSet,true,0.24561403508771928
2,NaiveBayes,false,UnderSampl,false,0.125
24,IBk,true,UnderSampl,false,0.3
20,IBk,true,NotSet,true,0.1935483870967742
20,IBk,true,OverSampl,false,0.1935483870967742
3,RandomForest,true,UnderSampl,false,0.225
4,IBk,true,SMOTE,false,0.2857142857142857
18,IBk,true,SMOTE,false,0.125
7,IBk,false,OverSampl,false,0.18518518518518517
2,RandomForest,true,NotSet,true,0.1875
16,IBk,false,OverSampl,false,0.2682926829268293
17,IBk,false,NotSet,true,0.13953488372093023
6,RandomForest,true,UnderSampl,false,0.2647058823529412
24,NaiveBayes,false,UnderSampl,false,0.11475409836065574
23,NaiveBayes,true,NotSet,true,0.3888888888888889
18,NaiveBayes,false,UnderSampl,false,0.125
13,NaiveBayes,true,NotSet,false,0.1702127659574468
3,IBk,false,NotSet,true,0.2
25,NaiveBayes,true,NotSet,false,0.2033898305084746
14,NaiveBayes,false,NotSet,true,0.17777777777777778
1,RandomForest,false,NotSet,true,0.125
2,RandomForest,true,UnderSampl,false,0.1875
14,RandomForest,true,SMOTE,false,0.25
5,IBk,false,UnderSampl,false,0.34285714285714286
16,IBk,true,NotSet,true,0.1951219512195122
26,RandomForest,true,UnderSampl,false,0.09090909090909091
16,NaiveBayes,true,OverSampl,false,0.21428571428571427
21,NaiveBayes,true,OverSampl,false,0.32
24,NaiveBayes,false,NotSet,false,0.14754098360655737
3,IBk,true,NotSet,true,0.175
6,IBk,true,UnderSampl,false,0.35294117647058826
11,IBk,true,NotSet,true,0.17073170731707318
15,IBk,false,NotSet,false,0.23255813953488372
9,RandomForest,true,UnderSampl,false,0.24444444444444444
4,IBk,true,OverSampl,false,0.14285714285714285
18,IBk,true,OverSampl,false,0.12727272727272726
26,NaiveBayes,false,OverSampl,false,0.36363636363636365
19,NaiveBayes,false,UnderSampl,false,0.22413793103448276
6,NaiveBayes,false,OverSampl,false,0.23529411764705882
20,NaiveBayes,false,SMOTE,false,0.14516129032258066
7,RandomForest,false,OverSampl,false,0.18518518518518517
5,RandomForest,true,UnderSampl,false,0.37142857142857144
12,RandomForest,true,OverSampl,false,0.21428571428571427
11,NaiveBayes,false,SMOTE,false,0.4146341463414634
25,RandomForest,false,SMOTE,false,0.23728813559322035
9,NaiveBayes,false,NotSet,true,0.13333333333333333
16,IBk,true,UnderSampl,false,0.14634146341463414
18,NaiveBayes,true,NotSet,true,0.17857142857142858
21,IBk,false,SMOTE,false,0.24
24,RandomForest,true,NotSet,true,0.3114754098360656
8,RandomForest,true,UnderSampl,false,0.20512820512820512
20,RandomForest,true,SMOTE,false,0.16129032258064516
18,NaiveBayes,true,UnderSampl,false,0.17857142857142858
8,IBk,false,OverSampl,false,0.23076923076923078
1,IBk,false,NotSet,true,0.11764705882352941
18,RandomForest,true,OverSampl,false,0.12727272727272726
4,RandomForest,false,SMOTE,false,0.2
1,NaiveBayes,true,NotSet,true,0.1875
15,RandomForest,true,NotSet,true,0.23255813953488372
13,NaiveBayes,false,NotSet,true,0.1702127659574468
